system_config,capability,support,method,evidence_ref,notes
tar-xz-9e,birthtime_precision,NO,PROBE,research/baselines/probes/capability-probe-results.json#tar-xz-9e,"raw stat %W=1789615166 (the extraction moment, not the original fixture's creation time; no probed tool has a mechanism to declare a birth time on extraction)"
tar-xz-9e,ctime_precision,N/A,PROBE,research/baselines/probes/capability-probe-results.json#tar-xz-9e,"ctime is the inode's last-metadata-change time, always set by the extraction operation itself; no format or tool can restore an earlier ctime, so this is not a capability to compare"
tar-xz-9e,encryption,NO,DOC,XZ Format spec (xz-file-format.txt),no native encryption in the xz container
tar-xz-9e,hardlinks,YES,PROBE,research/baselines/probes/capability-probe-results.json#tar-xz-9e,nlink=2/2
tar-xz-9e,mtime_precision,YES,PROBE,research/baselines/probes/capability-probe-results.json#tar-xz-9e,got=1700000000 want=1700000000
tar-xz-9e,non_utf8_paths,YES,PROBE,research/baselines/probes/capability-probe-results.json#tar-xz-9e,
tar-xz-9e,ownership,YES,PROBE,research/baselines/probes/capability-probe-results.json#tar-xz-9e,got=uid:1000/gid:1000
tar-xz-9e,partial_retrieval,PARTIAL,DOC,PROBE: tar xJf <archive> <member>,"tar selects one member, but the xz stream must still be decompressed sequentially up to it"
tar-xz-9e,permissions,YES,PROBE,research/baselines/probes/capability-probe-results.json#tar-xz-9e,
tar-xz-9e,posix_acls,NO,PROBE,research/baselines/probes/capability-probe-results.json#tar-xz-9e,
tar-xz-9e,random_access,NO,DOC,XZ Format spec,plain xz (this config) has no index; pixz (a separate config in this suite) adds a block index for exactly this reason
tar-xz-9e,sparse_files,PARTIAL,PROBE,research/baselines/probes/capability-probe-results.json#tar-xz-9e,"apparent=8388608 allocated=8388608 (materialized as a fully-allocated file: content preserved, sparseness not)"
tar-xz-9e,streaming_creation,YES,DOC,XZ Format spec,single-pass streaming format; this is exactly the tar|xz pipe used to create the artifact
tar-xz-9e,streaming_extraction,YES,DOC,XZ Format spec,decodes sequentially with no seeking
tar-xz-9e,symlinks,YES,PROBE,research/baselines/probes/capability-probe-results.json#tar-xz-9e,relative and dangling symlink targets preserved
tar-xz-9e,unicode_paths,YES,PROBE,research/baselines/probes/capability-probe-results.json#tar-xz-9e,
tar-xz-9e,xattrs,NO,PROBE,research/baselines/probes/capability-probe-results.json#tar-xz-9e,/root/eb-research/scratch/baselines/capability/tar-xz-9e.dest/xattr/xattr-file.txt: user.ebr_probe: No such attribute
tar-zstd-19,atime_precision,NO,PROBE,research/baselines/probes/capability-probe-results.json#tar-zstd-19,most incumbents intentionally do not restore atime
tar-zstd-19,authentication,PARTIAL,DOC,RFC 8878 §3.1.1 (optional content checksum),"an optional 32-bit content checksum (used by the zstd CLI by default) detects corruption, not a cryptographic MAC"
tar-zstd-19,birthtime_precision,NO,PROBE,research/baselines/probes/capability-probe-results.json#tar-zstd-19,"raw stat %W=1789615166 (the extraction moment, not the original fixture's creation time; no probed tool has a mechanism to declare a birth time on extraction)"
tar-zstd-19,ctime_precision,N/A,PROBE,research/baselines/probes/capability-probe-results.json#tar-zstd-19,"ctime is the inode's last-metadata-change time, always set by the extraction operation itself; no format or tool can restore an earlier ctime, so this is not a capability to compare"
tar-zstd-19,encryption,NO,DOC,Zstandard Format RFC 8878,no native encryption in the zstd frame format
tar-zstd-19,hardlinks,YES,PROBE,research/baselines/probes/capability-probe-results.json#tar-zstd-19,nlink=2/2
tar-zstd-19,mtime_precision,YES,PROBE,research/baselines/probes/capability-probe-results.json#tar-zstd-19,got=1700000000 want=1700000000
tar-zstd-19,non_utf8_paths,YES,PROBE,research/baselines/probes/capability-probe-results.json#tar-zstd-19,
tar-zstd-19,ownership,YES,PROBE,research/baselines/probes/capability-probe-results.json#tar-zstd-19,got=uid:1000/gid:1000
tar-zstd-19,partial_retrieval,PARTIAL,DOC,PROBE: tar --zstd -xf <archive> <member>,"tar can select one member, but the zstd frame must still be decompressed sequentially up to it"
tar-zstd-19,permissions,YES,PROBE,research/baselines/probes/capability-probe-results.json#tar-zstd-19,
tar-zstd-19,posix_acls,NO,PROBE,research/baselines/probes/capability-probe-results.json#tar-zstd-19,
tar-zstd-19,random_access,PARTIAL,DOC,RFC 8878 Appendix (seekable format); Facebook seekable-zstd spec,the plain frame used here has no index; the related seekable-zstd container format (not used by this config) adds one -- see tarxz-pixz for the indexed analogue this suite does run
tar-zstd-19,sparse_files,PARTIAL,PROBE,research/baselines/probes/capability-probe-results.json#tar-zstd-19,"apparent=8388608 allocated=8388608 (materialized as a fully-allocated file: content preserved, sparseness not)"
tar-zstd-19,streaming_creation,YES,DOC,RFC 8878,single-pass streaming frame format; this is exactly the tar|zstd pipe used to create the artifact
tar-zstd-19,streaming_extraction,YES,DOC,RFC 8878,decodes sequentially from a stream with no seeking
tar-zstd-19,symlinks,YES,PROBE,research/baselines/probes/capability-probe-results.json#tar-zstd-19,relative and dangling symlink targets preserved
tar-zstd-19,unicode_paths,YES,PROBE,research/baselines/probes/capability-probe-results.json#tar-zstd-19,
tar-zstd-19,xattrs,NO,PROBE,research/baselines/probes/capability-probe-results.json#tar-zstd-19,/root/eb-research/scratch/baselines/capability/tar-zstd-19.dest/xattr/xattr-file.txt: user.ebr_probe: No such attribute
tarbrotli-q11,deterministic_output,N/A,PROBE,research/raw/EXP-BASE-SIZE/*.jsonl (grouped by candidate+item+rep),"5 (candidate,item) pairs measured so far but none yet has 2+ repetitions in this partial EXP-BASE-SIZE pass; rerun once it has more coverage"
targz-gzip-6,deterministic_output,N/A,PROBE,research/raw/EXP-BASE-SIZE/*.jsonl (grouped by candidate+item+rep),"5 (candidate,item) pairs measured so far but none yet has 2+ repetitions in this partial EXP-BASE-SIZE pass; rerun once it has more coverage"
targz-gzip-9,deterministic_output,N/A,PROBE,research/raw/EXP-BASE-SIZE/*.jsonl (grouped by candidate+item+rep),"5 (candidate,item) pairs measured so far but none yet has 2+ repetitions in this partial EXP-BASE-SIZE pass; rerun once it has more coverage"
targz-pigz-9-t1,deterministic_output,N/A,PROBE,research/raw/EXP-BASE-SIZE/*.jsonl (grouped by candidate+item+rep),"5 (candidate,item) pairs measured so far but none yet has 2+ repetitions in this partial EXP-BASE-SIZE pass; rerun once it has more coverage"
targz-pigz-9-tN,deterministic_output,N/A,PROBE,research/raw/EXP-BASE-SIZE/*.jsonl (grouped by candidate+item+rep),"5 (candidate,item) pairs measured so far but none yet has 2+ repetitions in this partial EXP-BASE-SIZE pass; rerun once it has more coverage"
tarlz4-1,deterministic_output,N/A,PROBE,research/raw/EXP-BASE-SIZE/*.jsonl (grouped by candidate+item+rep),"5 (candidate,item) pairs measured so far but none yet has 2+ repetitions in this partial EXP-BASE-SIZE pass; rerun once it has more coverage"
tarxz-6,deterministic_output,N/A,PROBE,research/raw/EXP-BASE-SIZE/*.jsonl (grouped by candidate+item+rep),"5 (candidate,item) pairs measured so far but none yet has 2+ repetitions in this partial EXP-BASE-SIZE pass; rerun once it has more coverage"
tarxz-9e,deterministic_output,N/A,PROBE,research/raw/EXP-BASE-SIZE/*.jsonl (grouped by candidate+item+rep),"5 (candidate,item) pairs measured so far but none yet has 2+ repetitions in this partial EXP-BASE-SIZE pass; rerun once it has more coverage"
tarxz-pixz,deterministic_output,N/A,PROBE,research/raw/EXP-BASE-SIZE/*.jsonl (grouped by candidate+item+rep),"5 (candidate,item) pairs measured so far but none yet has 2+ repetitions in this partial EXP-BASE-SIZE pass; rerun once it has more coverage"
tarzstd-19-t1,deterministic_output,N/A,PROBE,research/raw/EXP-BASE-SIZE/*.jsonl (grouped by candidate+item+rep),"5 (candidate,item) pairs measured so far but none yet has 2+ repetitions in this partial EXP-BASE-SIZE pass; rerun once it has more coverage"
tarzstd-19-tN,deterministic_output,N/A,PROBE,research/raw/EXP-BASE-SIZE/*.jsonl (grouped by candidate+item+rep),"5 (candidate,item) pairs measured so far but none yet has 2+ repetitions in this partial EXP-BASE-SIZE pass; rerun once it has more coverage"
tarzstd-22-ultra-long27-t1,deterministic_output,N/A,PROBE,research/raw/EXP-BASE-SIZE/*.jsonl (grouped by candidate+item+rep),"5 (candidate,item) pairs measured so far but none yet has 2+ repetitions in this partial EXP-BASE-SIZE pass; rerun once it has more coverage"
tarzstd-3-t1,deterministic_output,N/A,PROBE,research/raw/EXP-BASE-SIZE/*.jsonl (grouped by candidate+item+rep),"5 (candidate,item) pairs measured so far but none yet has 2+ repetitions in this partial EXP-BASE-SIZE pass; rerun once it has more coverage"
wim-lzms-solid,atime_precision,NO,PROBE,research/baselines/probes/capability-probe-results.json#wim-lzms-solid,most incumbents intentionally do not restore atime
wim-lzms-solid,authentication,PARTIAL,DOC,MS-WIM / wimlib docs (per-chunk SHA-1 and image hash),integrity hashes catch corruption; not a keyed authentication scheme
wim-lzms-solid,birthtime_precision,NO,PROBE,research/baselines/probes/capability-probe-results.json#wim-lzms-solid,"raw stat %W=1789615167 (the extraction moment, not the original fixture's creation time; no probed tool has a mechanism to declare a birth time on extraction)"
wim-lzms-solid,ctime_precision,N/A,PROBE,research/baselines/probes/capability-probe-results.json#wim-lzms-solid,"ctime is the inode's last-metadata-change time, always set by the extraction operation itself; no format or tool can restore an earlier ctime, so this is not a capability to compare"
wim-lzms-solid,deterministic_output,N/A,PROBE,research/raw/EXP-BASE-SIZE/*.jsonl (grouped by candidate+item+rep),"5 (candidate,item) pairs measured so far but none yet has 2+ repetitions in this partial EXP-BASE-SIZE pass; rerun once it has more coverage"
wim-lzms-solid,encryption,NO,DOC,wimlib documentation (Encryption),wimlib does not support WIM encryption (Microsoft's own imagex/DISM support EFS-wrapped WIMs in restricted scenarios not exposed by wimlib)
wim-lzms-solid,hardlinks,YES,PROBE,research/baselines/probes/capability-probe-results.json#wim-lzms-solid,nlink=2/2
wim-lzms-solid,mtime_precision,YES,PROBE,research/baselines/probes/capability-probe-results.json#wim-lzms-solid,got=1700000000 want=1700000000
wim-lzms-solid,non_utf8_paths,NO,PROBE,research/baselines/probes/capability-probe-results.json#wim-lzms-solid,"whole input tree refused: [ERROR] ""/root/eb-research/cache/baselines/fixture/nonutf8-��-name.bin"": filename is not valid UTF-8.  This is not supported.
ERROR: Exiting with error code 31:
       A string was not a valid UTF-8 s"
wim-lzms-solid,ownership,NO,PROBE,research/baselines/probes/capability-probe-results.json#wim-lzms-solid,got=uid:0/gid:0
wim-lzms-solid,partial_retrieval,YES,DOC,PROBE: wimextract <archive> 1 <member-path>,extracts one named file from the image directly
wim-lzms-solid,permissions,PARTIAL,PROBE,research/baselines/probes/capability-probe-results.json#wim-lzms-solid,"{""perms/mode600.txt"": false, ""perms/mode644.txt"": true, ""perms/mode700dir"": false, ""perms/mode755.sh"": false}"
wim-lzms-solid,posix_acls,NO,PROBE,research/baselines/probes/capability-probe-results.json#wim-lzms-solid,
wim-lzms-solid,random_access,PARTIAL,DOC,MS-WIM specification; wimlib docs,"non-solid WIM resources are independently seekable; --solid (used in this config, matching the task's requested LZMS-solid variant) groups streams into solid resource chunks, reducing per-file random access"
wim-lzms-solid,sparse_files,YES,PROBE,research/baselines/probes/capability-probe-results.json#wim-lzms-solid,apparent=8388608 allocated=4096
wim-lzms-solid,streaming_creation,NO,DOC,wimlib documentation,"wimcapture scans the whole source tree, deduplicates streams and writes the lookup table/XML info after data, so it is not a single forward pass"
wim-lzms-solid,streaming_extraction,PARTIAL,DOC,wimlib documentation,"wimlib can apply an image from a pipable WIM created for that purpose; the archive created by this config is not built pipable, so ordinary extraction needs random access to the file"
wim-lzms-solid,symlinks,YES,PROBE,research/baselines/probes/capability-probe-results.json#wim-lzms-solid,relative and dangling symlink targets preserved
wim-lzms-solid,unicode_paths,YES,PROBE,research/baselines/probes/capability-probe-results.json#wim-lzms-solid,
wim-lzms-solid,xattrs,NO,PROBE,research/baselines/probes/capability-probe-results.json#wim-lzms-solid,/root/eb-research/scratch/baselines/capability/wim-lzms-solid.dest/xattr/xattr-file.txt: user.ebr_probe: No such attribute
wim-lzx,deterministic_output,N/A,PROBE,research/raw/EXP-BASE-SIZE/*.jsonl (grouped by candidate+item+rep),"5 (candidate,item) pairs measured so far but none yet has 2+ repetitions in this partial EXP-BASE-SIZE pass; rerun once it has more coverage"
zip-6,deterministic_output,N/A,PROBE,research/raw/EXP-BASE-SIZE/*.jsonl (grouped by candidate+item+rep),"5 (candidate,item) pairs measured so far but none yet has 2+ repetitions in this partial EXP-BASE-SIZE pass; rerun once it has more coverage"
zip-9,atime_precision,NO,PROBE,research/baselines/probes/capability-probe-results.json#zip-9,most incumbents intentionally do not restore atime
zip-9,authentication,NO,DOC,PKWARE APPNOTE.TXT 4.4.7 (CRC-32 only),"CRC-32 per entry only, not a cryptographic MAC (REQ-CRY-0014/0102)"
zip-9,birthtime_precision,NO,PROBE,research/baselines/probes/capability-probe-results.json#zip-9,"raw stat %W=1789615166 (the extraction moment, not the original fixture's creation time; no probed tool has a mechanism to declare a birth time on extraction)"
zip-9,ctime_precision,N/A,PROBE,research/baselines/probes/capability-probe-results.json#zip-9,"ctime is the inode's last-metadata-change time, always set by the extraction operation itself; no format or tool can restore an earlier ctime, so this is not a capability to compare"
zip-9,deterministic_output,N/A,PROBE,research/raw/EXP-BASE-SIZE/*.jsonl (grouped by candidate+item+rep),"5 (candidate,item) pairs measured so far but none yet has 2+ repetitions in this partial EXP-BASE-SIZE pass; rerun once it has more coverage"
zip-9,encryption,PARTIAL,DOC,"Info-ZIP zip(1) manual, -e/--password","legacy ZipCrypto only (weak, not authenticated); no AES in stock Info-ZIP zip"
zip-9,hardlinks,NO,PROBE,research/baselines/probes/capability-probe-results.json#zip-9,nlink=1/1
zip-9,mtime_precision,YES,PROBE,research/baselines/probes/capability-probe-results.json#zip-9,got=1700000000 want=1700000000
zip-9,non_utf8_paths,YES,PROBE,research/baselines/probes/capability-probe-results.json#zip-9,
zip-9,ownership,NO,PROBE,research/baselines/probes/capability-probe-results.json#zip-9,got=uid:0/gid:0
zip-9,partial_retrieval,YES,DOC,PROBE: unzip -p <archive> <member>,single named member extracted without extracting the rest
zip-9,permissions,YES,PROBE,research/baselines/probes/capability-probe-results.json#zip-9,
zip-9,posix_acls,NO,PROBE,research/baselines/probes/capability-probe-results.json#zip-9,
zip-9,random_access,YES,DOC,PKWARE APPNOTE.TXT central directory,central directory enables listing and per-entry extraction without full decompression
zip-9,sparse_files,PARTIAL,PROBE,research/baselines/probes/capability-probe-results.json#zip-9,"apparent=8388608 allocated=8388608 (materialized as a fully-allocated file: content preserved, sparseness not)"
zip-9,streaming_creation,PARTIAL,DOC,PKWARE APPNOTE.TXT data descriptors,"supports streamed writes via data descriptors, but the central directory (needed for random access) is only finalized at the end"
zip-9,streaming_extraction,YES,DOC,PKWARE APPNOTE.TXT local file headers,a conforming reader can stream-extract via local headers without the central directory
zip-9,symlinks,YES,PROBE,research/baselines/probes/capability-probe-results.json#zip-9,relative and dangling symlink targets preserved
zip-9,unicode_paths,YES,PROBE,research/baselines/probes/capability-probe-results.json#zip-9,
zip-9,xattrs,NO,PROBE,research/baselines/probes/capability-probe-results.json#zip-9,/root/eb-research/scratch/baselines/capability/zip-9.dest/xattr/xattr-file.txt: user.ebr_probe: No such attribute
zpaq,atime_precision,NO,PROBE,research/baselines/probes/capability-probe-results.json#zpaq,most incumbents intentionally do not restore atime
zpaq,authentication,NO,DOC,zpaq documentation,no keyed authentication tag on the archive/journal
zpaq,birthtime_precision,NO,PROBE,research/baselines/probes/capability-probe-results.json#zpaq,"raw stat %W=1789615174 (the extraction moment, not the original fixture's creation time; no probed tool has a mechanism to declare a birth time on extraction)"
zpaq,ctime_precision,N/A,PROBE,research/baselines/probes/capability-probe-results.json#zpaq,"ctime is the inode's last-metadata-change time, always set by the extraction operation itself; no format or tool can restore an earlier ctime, so this is not a capability to compare"
zpaq,encryption,YES,DOC,"zpaq documentation, -key","AES-256-CTR via -key (not used in this config, which is unencrypted for the size/determinism pass)"
zpaq,hardlinks,NO,PROBE,research/baselines/probes/capability-probe-results.json#zpaq,nlink=1/1
zpaq,mtime_precision,YES,PROBE,research/baselines/probes/capability-probe-results.json#zpaq,got=1700000000 want=1700000000
zpaq,non_utf8_paths,YES,PROBE,research/baselines/probes/capability-probe-results.json#zpaq,
zpaq,ownership,NO,PROBE,research/baselines/probes/capability-probe-results.json#zpaq,got=uid:0/gid:0
zpaq,partial_retrieval,PARTIAL,DOC,PROBE: zpaq x <archive> <member> -to <dest>,"can extract a named file, but journaling/versioning bookkeeping is read regardless"
zpaq,permissions,YES,PROBE,research/baselines/probes/capability-probe-results.json#zpaq,
zpaq,posix_acls,NO,PROBE,research/baselines/probes/capability-probe-results.json#zpaq,
zpaq,random_access,PARTIAL,DOC,zpaq documentation (block/fragment index),"zpaq indexes fragments for dedup and versioning, but is primarily designed for whole-archive journaled add/extract, not general random access"
zpaq,sparse_files,YES,PROBE,research/baselines/probes/capability-probe-results.json#zpaq,apparent=8388608 allocated=163840
zpaq,streaming_creation,NO,DOC,zpaq documentation,"zpaq add computes a journal entry against prior archive state, which is not a pure forward-only stream operation"
zpaq,streaming_extraction,NO,DOC,zpaq documentation,extraction resolves the most recent version of each file across the journal's update history before writing
zpaq,symlinks,NO,PROBE,research/baselines/probes/capability-probe-results.json#zpaq,"{""symlinks/dangling-link.txt"": {""present"": false}, ""symlinks/rel-link.txt"": {""present"": false}}"
zpaq,symlinks,NO,DOC,PROBE: zpaq add/extract on a tree containing a symlink,"confirmed by capability probe: the symlink fixture is silently dropped on add, not merely on extract (zpaq has no symlink entry kind in this version, 7.15)"
zpaq,unicode_paths,YES,PROBE,research/baselines/probes/capability-probe-results.json#zpaq,
zpaq,xattrs,NO,PROBE,research/baselines/probes/capability-probe-results.json#zpaq,/root/eb-research/scratch/baselines/capability/zpaq.dest/root/eb-research/cache/baselines/fixture/xattr/xattr-file.txt: user.ebr_probe: No such attribute
zpaq-m5,deterministic_output,N/A,PROBE,research/raw/EXP-BASE-SIZE/*.jsonl (grouped by candidate+item+rep),"4 (candidate,item) pairs measured so far but none yet has 2+ repetitions in this partial EXP-BASE-SIZE pass; rerun once it has more coverage"
